tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,percImpervious,percRoadRR,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach,percAADTgt5k,percAADTgt10k,percSlowdownLT2,percSlowdownLT4,Gender,age,Weight,IntPerKM
680577190,ShortestPath,0,4,0.22124061,0,0.22124061,0,0.6637218,0,52,0,0,0,0,0,0.6637218,-0.903005421,20.09108925,18.71777153,0.889078915,15.18850422,22.66322327,18.42286682,0.60638845,3.421077967,0,0,0,8.581972122,0.538524687,59.9955864,79.6307373,0,0,1,10.0147844
680849292,EndomondoTrip,1,4,0.71876359,0.71876359,0,3.689552784,0,1,0,0,28.87334442,0,0,64.65795898,53.18850708,-0.680397809,13.09341145,15.64509964,5.452421665,1.206175804,23.81388092,16.64297485,0,0.316673934,0,4,20,14.38639641,14.38639641,99.07298279,99.07298279,1,0,3.460207612,8.984545183
680849292,GoogleTrip,0,4,1.070400119,0.713600039,0.35680002,4.439844131,0,4,0,15,7.11493969,15,0,68.50208282,51.02240372,-0.88826251,13.60625172,15.80790138,5.432696819,1.331914067,24.32458878,16.45775223,0,0.30951947,0,4,19,14.28304482,14.28304482,99.78412628,99.78412628,1,0,3.460207612,8.206400548
680849292,MapQuestTrip,0,4,1.481834054,0,1.481834054,0.5892331,0.740917027,2,0,20,0,74,0,18.48546028,59.27336502,-0.107287422,18.372015,24.33723831,5.407792568,1.462348104,27.56309128,17.67848587,0,0.319979161,0,4,1,93.88339996,93.88339996,62.75547791,74.87506104,1,0,3.460207612,7.531076866
680849292,ShortestPath,0,4,1.863206983,1.117924213,0.745282769,0,0.745282769,0,0,18,9.208417892,39,0,51.4510231,52.54243469,-0.950675189,14.40812778,18.81815338,5.475672722,1.312351227,25.48501587,15.44457912,0,0.322613597,0,4,15,41.99899292,41.99899292,102.5501328,102.5501328,1,0,3.460207612,8.570751941
681597828,EndomondoTrip,1,4,4.009332657,2.405599594,1.603733063,0.103937492,0,0,0,0,0,0,0,65.37709808,231.7394257,-0.484236717,34.95877457,15.34925079,0.294234842,25.7976532,11.2115736,7.276182175,0,0.052104086,0,5,0,0,0,101.144455,101.144455,0,39,1,19.24479631
681597828,GoogleTrip,0,4,4.257140636,2.838093758,1.419046879,13.13226604,1.419046879,0,0,0,0,7,0,65.67692566,251.8808289,-0.702993453,33.48207092,17.10736465,0.256155998,26.59615517,10.67316723,7.312840939,0,0.046824217,0,5,0,8.441075325,8.441075325,89.78801727,93.173172,0,39,1,18.44760956
681597828,MapQuestTrip,0,4,1.485409856,1.485409856,0,8.07790947,2.970819712,0,0,0,0,63,0,22.29948044,291.1403198,-0.137804359,27.84792137,24.91507149,1.82595408,33.30879974,8.362586021,3.739667177,0,0,0,0,0,65.56826782,65.56826782,32.77756882,93.03593445,0,39,1,14.85409845
681597828,ShortestPath,0,4,5.618899822,3.210799694,2.40809989,0,0,0,0,0,0,0,0,59.57963943,223.9532928,-0.695709229,35.84152985,15.85018826,0.290715665,24.60258484,11.16781139,7.088513851,0,0.052576236,0,5,0,0,0,101.3316193,101.3316193,0,39,1,19.26479887
682397932,EndomondoTrip,1,4,1.322991371,0.352797717,0.970193684,23.60596848,0.52919656,0,11,0,0.947842479,0,11.39038372,26.73330879,34.30957794,-0.086806566,16.90024185,8.337309837,0.215266138,14.3225956,13.02508068,46.71718979,0.01664429,0.465670228,0,0,0,20.27927017,13.85200405,79.71350098,91.52618408,2,0,1,11.02492837
