OBJECTID,tripID,source,Choice,Options,turnsPerkm,turnsLeftPerkm,turnsRightPerkm,perc_Detour,signalsPerkm,percCycleWay,percBikeLane,percSharrow,percFootway,percPrimary,percSecondary,percResidential,FlickrPerkm,PSOverlap,WorkoutType,percImpervious,percRoadRailroad,percBareGround,percBldg,percGrass,percTree,percWetland,percInlandWater,percCropland,percOcean,percBeach
181,1798323980,Endomondo,1,4,2.237774,1.01717,1.220604,4.010696,0.610302,0,0,0,3.466227,0,0,49.0076,3.729624,-0.311018,2 sport,33.78456,14.7109,0.330972,22.53561,15.40045,12.60071,0,0.6368,0,0,0
182,1798323980,Google,0,4,1.061786,0.530893,0.530893,6.282919,1.128147,0,0,0,0,22.13145,23.7481,50.79089,36.10072,-0.043566,2 sport,34.50629,17.46173,0.619116,22.68861,11.93326,11.79934,0,0.991649,0,0,0
183,1798323980,MapQuest,0,4,1.064711,0.5989,0.465811,5.990862,0.931623,0,0,0,0,5.24885,0.241888,31.92201,6.987169,-0.179186,2 sport,32.00102,14.07215,0.186573,21.74537,14.88587,16.51092,0,0.5981,0,0,0
184,1798323980,Shortest Path,0,4,1.974869,0.846373,1.128497,0,1.481152,0,0,0,0.935783,5.619503,19.10253,16.57337,8.04054,-0.253611,2 sport,35.29775,18.26427,0.413944,17.42674,16.10416,11.64512,0,0.848005,0,0,0
189,651060836,Endomondo,1,4,1.435264,0.287053,1.148211,1.542362,0.861159,0,0,0,0,0,0,1.93521,0.574106,-1.142696,2 sport,21.15232,18.67594,0.753336,17.7017,23.61058,16.58359,0,1.522532,0,0,0
190,651060836,Google,0,4,1.435264,0.287053,1.148211,1.542362,0.861159,0,0,0,0,0,0,1.93521,0.574106,-1.142696,2 sport,21.15232,18.67594,0.753336,17.7017,23.61058,16.58359,0,1.522532,0,0,0
191,651060836,MapQuest,0,4,1.435264,0.287053,1.148211,1.542362,0.861159,0,0,0,0,0,0,1.93521,0.574106,-1.142696,2 sport,21.15232,18.67594,0.753336,17.7017,23.61058,16.58359,0,1.522532,0,0,0
192,651060836,Shortest Path,0,4,2.623322,0.874441,1.748882,0,0.58296,0,0,0,0,0,0.104354,13.18751,0.58296,-0.294566,2 sport,25.49187,15.04982,0.434652,18.96747,20.23906,18.20567,0.352577,1.258872,0,0,0
197,651352098,Endomondo,1,4,3.099651,1.291521,1.80813,16.1376,0.129152,44.87118,0,0,23.4544,2.733532,0,27.14954,119.3366,-0.143923,2 sport,15.63866,8.15313,3.84543,5.37253,13.96374,15.13016,0,0.319288,0,2.831664,34.7454
198,651352098,Google,0,4,1.834638,0.846756,0.987882,6.283867,0.987882,26.8381,0,0,11.10993,31.20833,1.389171,2.377827,147.0533,-0.342099,2 sport,21.56695,12.8299,2.249296,3.806197,15.41326,14.73216,0,0.825569,0,6.81504,21.76163
199,651352098,MapQuest,0,4,0.729885,0.291954,0.437931,2.751983,1.313792,37.03185,0,0,0.896278,57.86304,1.43692,2.620349,162.3264,-0.694495,2 sport,19.75832,14.93217,3.586347,4.787219,15.62121,14.4825,0,0.126071,0,1.687146,25.01903
200,651352098,Shortest Path,0,4,0.599977,0.299988,0.299988,0,2.249913,0,0,0,0,84.77327,0,2.380784,155.694,-0.4396,2 sport,30.01869,21.27803,2.066539,13.01485,17.93084,13.83289,0,0.129196,0,1.728963,0
209,651458432,Endomondo,1,4,0.447413,0.268448,0.178965,1.105139,0.715861,0.684567,0,0,0.347271,0,98.31225,0.655912,207.9576,-0.808754,2 sport,16.55836,25.43676,0.834891,3.520966,13.27032,18.84631,0.450377,0.548622,0,12.04686,8.486526
210,651458432,Google,0,4,0.967765,0.615851,0.351915,2.833474,0.615851,0.089925,0,0,37.64354,0.759745,55.66552,5.618956,206.222,-0.85577,2 sport,17.15965,24.75611,0.71494,3.600869,12.16597,17.68777,0.34384,0.537204,0,14.42347,8.610174
211,651458432,MapQuest,0,4,0.712904,0.356452,0.356452,1.524513,0.534678,0.11769,0,0,36.35896,0.994323,46.97827,15.55076,198.722,-1.1831,2 sport,16.08859,24.4872,0.858284,2.93486,13.9142,19.34081,0.46187,0.548287,0,13.31223,8.053674
212,651458432,Shortest Path,0,4,0.633301,0.271415,0.361886,0,0.542829,0,0,0,0,0,90.16291,9.328135,209.4416,-0.822288,2 sport,15.89017,24.82222,0.852676,2.821765,13.73371,20.08128,0.454835,0.555413,0,12.19636,8.591576
213,651914275,Endomondo,1,4,2.625551,1.670805,0.954746,6.089281,0.716059,68.6657,0,0,6.692755,0,0.172389,24.19338,10.26352,-0.506557,2 sport,10.64777,5.730131,0.06593,9.768371,14.07809,58.70234,0,0.254996,0,0.752383,0
214,651914275,Google,0,4,0.747683,0.498455,0.249228,1.602154,0.747683,0,0,0,0,0,91.76784,8.232163,14.95366,-0.665523,2 sport,10.83911,6.470901,0.094725,9.975727,13.0533,58.45815,0,0.582164,0,0.525921,0
215,651914275,MapQuest,0,4,0.999854,0.249964,0.749891,1.303067,0.999854,0,0,0,0,0,91.74373,8.256271,15.49774,-0.668318,2 sport,10.88074,6.472089,0.094916,9.996836,13.15774,58.48609,0,0.630796,0,0.280793,0
216,651914275,Shortest Path,0,4,1.772545,1.012883,0.759662,0,0.759662,71.80289,0,0,6.998532,0,12.53352,8.376687,15.69968,-0.762454,2 sport,10.46874,5.80739,0.061162,9.491152,13.90685,59.22294,0,0.263699,0,0.778062,0
217,651930836,Endomondo,1,4,0.245202,0,0.245202,27.28477,0.980807,0,0,0,0,38.01572,0,0,85.82062,-0.009658,2 sport,25.3638,22.1259,2.608765,8.205172,19.35013,8.250039,0,0.567318,0,13.52889,0
218,651930836,Google,0,4,1.288392,0.715773,0.572619,9.009544,0.286309,0,0,0,0,4.025336,0,25.80644,166.2026,-0.594145,2 sport,23.89382,16.56025,1.050373,15.65061,13.72291,7.764453,0,0.300519,0,21.05706,0
219,651930836,MapQuest,0,4,0.917134,0.917134,0,2.091189,0.611423,0.816116,0,0,4.14237,17.14695,0,0,219.8066,-0.687187,2 sport,24.19984,16.87288,0.840041,13.28731,13.49917,6.505392,0.054812,0.583225,0,24.15734,0
220,651930836,Shortest Path,0,4,1.248418,0.780261,0.468157,0,0.624209,3.551896,0,0,1.306394,17.64182,0,4.529475,203.3361,-0.84166,2 sport,22.97698,18.71261,1.132028,13.00673,14.02913,6.534691,0.055756,0.448551,0,23.10352,0
233,652202789,Endomondo,1,4,0.723444,0.301435,0.422009,29.67963,0.482296,27.21596,0,0,14.01031,0,0,11.01384,25.5014,-0.09662,2 sport,13.58875,9.567385,0.525113,7.949815,21.78495,44.22364,0.127417,0.470575,1.762362,0,0
234,652202789,Google,0,4,0.556145,0.278073,0.278073,12.45985,0.764699,62.84863,0,0,0,0,8.828224,0,7.577475,-0.180215,2 sport,26.77771,21.56372,0.618961,9.142863,23.76201,17.64484,0.071056,0.41884,0,0,0
235,652202789,MapQuest,0,4,0.723775,0.361887,0.361887,8.016972,1.375172,0.09704,0,0,0,0,3.679226,0,12.37655,-0.18794,2 sport,25.39132,25.50075,0.599715,8.247602,22.61709,17.17865,0.067565,0.397308,0,0,0
236,652202789,Shortest Path,0,4,1.25088,0.62544,0.62544,0,0.93816,15.07691,0,0,1.979563,0,28.52545,6.326175,3.205379,-0.103455,2 sport,15.84203,11.1117,0.456014,9.796941,22.24096,39.69048,0.106247,0.755636,0,0,0
237,652220284,Endomondo,1,4,0.662189,0.305626,0.356563,15.45156,3.107194,10.20372,0,0,0.151532,17.09106,24.54548,13.78848,923.2443,-0.234052,2 sport,29.12024,26.51371,0.773038,17.09458,7.669468,7.369256,0,0.503796,0,10.95591,0
238,652220284,Google,0,4,0.8759,0.328463,0.547438,7.424601,2.080263,25.04645,0,0,3.733545,16.28713,8.28632,19.72199,452.6762,-0.442761,2 sport,27.92899,22.6873,0.93359,14.89136,12.6178,9.926839,0,0.356105,0,10.65801,0
239,652220284,MapQuest,0,4,0.935077,0.385032,0.550045,6.915291,2.365196,0.297337,0,0,16.08171,33.27591,1.313319,8.889179,680.0762,-0.387295,2 sport,26.13102,19.4099,1.009789,15.14262,10.37844,10.64721,0,0.313199,0,8.55522,8.412614
240,652220284,Shortest Path,0,4,1.234974,0.588083,0.646891,0,2.469947,0,0,0,1.445935,5.145937,50.57912,11.38132,349.2035,-0.349845,2 sport,27.28336,22.24011,1.639251,17.55322,11.21879,9.188851,0,0.765521,0,10.11089,0
245,652691918,Endomondo,1,4,1.320278,0.495104,0.825174,3.518708,2.310487,0,0,0,0,0,48.01311,10.1147,17.32865,-1.002358,2 sport,31.91305,23.75561,2.990208,8.04849,18.97955,12.65456,0.103043,1.555486,0,0,0
246,652691918,Google,0,4,1.156599,0.495685,0.660914,3.397414,2.313197,0,0,0,0,0,48.26397,4.886405,17.34898,-0.944384,2 sport,32.54231,23.33281,2.051525,9.868361,18.2658,12.27759,0.103234,1.55837,0,0,0
247,652691918,MapQuest,0,4,0.495378,0.165126,0.330252,3.461641,2.476887,0,0,0,0,0,70.20487,0,33.35542,-0.646446,2 sport,32.73085,24.8526,0.543148,5.76129,19.17114,13.40855,0,3.532422,0,0,0
248,652691918,Shortest Path,0,4,2.050103,1.025051,1.025051,0,1.879261,0,0,0,0,0,46.26145,16.68215,18.79261,-0.793189,2 sport,33.03535,21.61536,5.515666,9.444615,17.92506,11.13498,0.107054,1.221915,0,0,0
317,652955241,Endomondo,1,4,1.964728,0.818637,1.146091,0.552198,2.128456,0,0,0,29.08554,0,6.205892,11.27589,16.04528,-0.322196,2 sport,31.56794,23.38681,3.921979,8.5255,18.47943,12.40697,0.102591,1.608782,0,0,0
318,652955241,Google,0,4,1.46271,0.97514,0.48757,1.297134,2.275326,0,0,0,0,0,45.66422,3.416886,14.6271,-1.000013,2 sport,32.40882,22.47043,2.214428,11.29734,17.91538,11.92568,0.151425,1.616494,0,0,0
319,652955241,MapQuest,0,4,1.4633,0.975533,0.487767,1.256303,2.276244,0,0,0,0,0,47.56974,7.182941,14.95817,-0.945879,2 sport,33.90152,22.43701,1.668954,12.74892,16.29528,11.41919,0.049849,1.479271,0,0,0
320,652955241,Shortest Path,0,4,2.30484,1.317052,0.987789,0,2.30484,0,0,0,0,1.550334,56.56414,7.621024,22.22525,-0.612162,2 sport,33.48886,24.25417,2.045564,8.83072,18.46675,11.71323,0,1.200714,0,0,0
257,654530059,Endomondo,1,4,0.589984,0.210709,0.379275,39.43441,0.084283,5.943867,0,0,0,0,0,0.340739,4.804155,-0.565858,2 sport,13.0985,11.95266,0.90306,5.46372,19.23384,29.61285,3.756566,2.291154,13.01035,0.677295,0
258,654530059,Google,0,4,0.926852,0.521354,0.405498,1.435889,0.115857,56.09699,0,0,0,0,0,2.880944,5.734898,-0.575352,2 sport,16.19031,11.93384,0.650597,7.395201,25.24038,25.87854,5.69914,3.371913,0,3.64008,0
259,654530059,MapQuest,0,4,0.5079,0.1693,0.3386,38.83058,0.08465,0,0,0,0,0,0,0.363925,4.0632,-0.680315,2 sport,11.7361,10.78332,0.860582,4.118927,22.00418,31.1944,4.297789,4.229916,10.77478,0,0
260,654530059,Shortest Path,0,4,1.527761,0.881401,0.646361,0,0.05876,52.2279,0,0,0.763207,0,0,2.862799,5.229644,-0.424271,2 sport,18.89551,15.85826,0.785742,11.0857,21.93647,20.82308,5.541612,2.990888,0,2.082741,0
265,657927677,Endomondo,1,4,0.600275,0.428768,0.171507,4.05446,0.514521,44.37599,0,0,1.67464,0,38.0176,15.39687,10.54769,-0.307113,2 sport,12.61621,9.241239,0.555554,5.847075,23.44262,43.29153,2.792979,2.13602,0,0.076778,0
266,657927677,Google,0,4,0.356738,0.267553,0.089185,0.051457,0.535107,0.562033,0,0,0,0,61.09662,0.081465,3.121458,-1.000707,2 sport,13.78747,9.812184,0.518827,5.697689,23.4217,41.98659,2.728826,2.009842,0,0.036871,0
267,657927677,MapQuest,0,4,0.356738,0.267553,0.089185,0.051457,0.535107,0.562033,0,0,0,0,61.09662,0.081465,3.121458,-1.000707,2 sport,13.78747,9.812184,0.518827,5.697689,23.4217,41.98659,2.728826,2.009842,0,0.036871,0
268,657927677,Shortest Path,0,4,0.178461,0.178461,0,0,0.535382,61.80752,0,0,0,0,0,0,3.301525,-0.339158,2 sport,13.62495,9.796676,0.489589,5.181517,23.14842,42.93219,2.740345,2.049426,0,0.036879,0
277,658878576,Endomondo,1,4,0.308318,0.154159,0.154159,31.48947,3.160262,8.988177,0,0,0.218125,54.53246,0,3.237304,627.5817,-0.273634,2 sport,28.87888,28.4016,0.762009,15.32516,4.868702,4.785916,0,0.808733,0,16.16901,0
278,658878576,Google,0,4,0.667664,0.286142,0.381522,6.260038,2.193755,0,0,0,0,0.544562,43.3775,7.085157,505.5174,-0.361221,2 sport,24.90072,21.01363,1.745748,18.66875,10.58084,8.629265,0,0.754845,0,13.7062,0
279,658878576,MapQuest,0,4,0.776899,0.291337,0.485562,4.365168,2.816259,0.521375,0,0,2.500487,46.68265,0,5.696518,648.7107,-0.909187,2 sport,28.37775,21.6865,0.858914,18.40396,8.828963,6.83772,0,0.542924,0,14.46327,0
280,658878576,Shortest Path,0,4,0.709461,0.304055,0.405406,0,2.73649,0,0,0,1.169093,34.75462,0,5.872036,549.0211,-0.838234,2 sport,28.14443,20.5895,0.966111,18.51381,9.368471,7.226526,0,0.518213,0,14.67294,0
281,659007962,Endomondo,1,4,0.926388,0.324236,0.602152,36.74117,0.463194,32.69867,0,0,3.860565,0,2.713724,10.24854,20.14895,0.013884,2 sport,14.19762,10.61263,0.528086,7.761464,22.16713,40.43903,1.477258,1.171241,1.581377,0.064162,0
282,659007962,Google,0,4,0.349208,0.174604,0.174604,8.825295,0.756617,52.78716,0,0,0,0,6.706943,0,7.100556,-0.294494,2 sport,24.98719,19.56829,0.669567,7.685038,23.72347,20.22698,1.728789,1.333092,0,0.077592,0
283,659007962,MapQuest,0,4,0.481308,0.240654,0.240654,5.275901,1.263434,0,0,0,0,0,2.567939,0,10.10748,-0.341596,2 sport,23.82083,22.91606,0.662628,6.814634,22.66392,19.89534,1.783517,1.359525,0,0.083548,0
284,659007962,Shortest Path,0,4,0.696715,0.316689,0.380026,0,0.886728,0,0,0,0.474807,0,0,6.777096,8.803942,-0.234228,2 sport,16.8737,13.54525,0.4764,9.152903,24.81775,31.7307,1.90216,1.412799,0,0.08835,0
285,659013798,Endomondo,1,4,2.326264,1.395759,0.930506,25.74875,0.465253,0,0,0,23.63361,0,0,76.36639,488.5155,-0.58861,2 sport,33.76437,15.08205,0.654932,15.49139,8.424813,5.090611,0,0.472593,0,21.01924,0
286,659013798,Google,0,4,2.907358,1.453679,1.453679,20.73841,0.48456,0,0,0,0.702112,0,0,99.29789,492.7972,-0.623102,2 sport,33.28216,16.20356,0.460547,17.55066,8.637166,5.282852,0,0.47206,0,18.11099,0
287,659013798,MapQuest,0,4,2.334193,1.167096,1.167096,0.257309,2.917741,0,0,0,0,54.70368,0,44.47042,1039.299,-0.872472,2 sport,31.56071,21.09706,0.103237,21.67519,7.554658,6.751703,0,0.378536,0,10.87889,0
288,659013798,Shortest Path,0,4,3.510298,2.925248,0.58505,0,2.925248,0,0,0,4.455431,55.24237,0,39.48074,1050.164,-0.782891,2 sport,31.65374,21.04618,0.104155,21.95811,7.334799,6.545539,0,0.3819,0,10.97558,0
373,660050342,Endomondo,1,4,0.831548,0.237585,0.593963,4.090688,1.781888,56.50422,7.389339,0,0.350211,0.852202,0,17.77279,69.85001,-0.916015,2 sport,30.28781,28.94467,0.428722,14.44361,11.61775,13.59376,0,0.683676,0,0,0
